,nomClass,time_video,c
1225,particular,1648,3
1226,particular,1650,1
1227,particular,1653,1
1228,particular,1654,1
1229,particular,1655,2
1230,particular,1658,2
1231,particular,1660,1
1232,particular,1662,2
1233,particular,1664,1
1234,particular,1665,2
1235,particular,1666,1
1236,particular,1667,3
1237,particular,1669,2
1238,particular,1670,2
1239,particular,1673,2
1240,particular,1674,2
1241,particular,1675,2
1242,particular,1677,1
1243,particular,1680,1
1244,particular,1681,1
1245,particular,1683,1
1246,particular,1698,1
1247,particular,1700,2
1248,particular,1701,3
1249,particular,1702,1
1250,particular,1704,1
1251,particular,1705,1
1252,particular,1706,1
1253,particular,1707,1
1254,particular,1708,2
1255,particular,1710,3
1256,particular,1711,2
1257,particular,1712,1
1258,particular,1713,1
1259,particular,1714,4
1260,particular,1715,2
1261,particular,1716,2
1262,particular,1717,2
1263,particular,1718,5
1264,particular,1719,4
1265,particular,1720,5
1266,particular,1722,1
1267,particular,1724,1
1268,particular,1725,1
1269,particular,1726,4
1270,particular,1727,1
1271,particular,1728,2
1272,particular,1730,3
1273,particular,1731,1
1274,particular,1732,2
1275,particular,1734,4
1276,particular,1735,1
1277,particular,1736,4
1278,particular,1737,1
1279,particular,1738,4
1280,particular,1739,1
1281,particular,1741,1
1282,particular,1742,2
1283,particular,1743,3
1284,particular,1744,3
1285,particular,1745,1
1286,particular,1746,3
1287,particular,1747,2
1288,particular,1748,1
1289,particular,1749,2
1290,particular,1750,1
1291,particular,1751,1
1292,particular,1752,1
1293,particular,1753,1
1294,particular,1755,1
1295,particular,1756,1
1296,particular,1758,2
1297,particular,1761,8
1298,particular,1762,1
1299,particular,1763,1
1300,particular,1765,1
1301,particular,1768,2
1302,particular,1771,1
1303,particular,1772,1
1304,particular,1775,2
1305,particular,1778,1
1306,particular,1780,1
1307,particular,1781,1
1308,particular,1782,1
1309,particular,1784,1
1310,particular,1785,1
1311,particular,1786,1
1312,particular,1790,1
1313,particular,1791,1
1314,particular,1796,2
1315,particular,1797,1
1316,particular,1798,1
1317,particular,1800,2
1318,particular,1802,1
1319,particular,1804,2
1320,particular,1805,1
1321,particular,1806,2
1322,particular,1809,1
1323,particular,1813,2
1324,particular,1814,1
1325,particular,1819,1
1326,particular,1821,1
1327,particular,1823,4
1328,particular,1825,6
1329,particular,1826,2
1330,particular,1827,1
1331,particular,1828,4
1332,particular,1829,2
1333,particular,1830,2
1334,particular,1831,4
1335,particular,1832,2
1336,particular,1833,2
1337,particular,1834,6
1338,particular,1835,3
1339,particular,1836,1
1340,particular,1837,4
1341,particular,1839,4
1342,particular,1840,1
1343,particular,1841,2
1344,particular,1842,3
1345,particular,1843,3
1346,particular,1844,3
1347,particular,1845,2
1348,particular,1846,2
1349,peaton,15,3
1350,peaton,16,2
1351,peaton,18,2
1352,peaton,74,1
1353,peaton,142,2
1354,peaton,143,3
1355,peaton,201,3
1356,peaton,260,3
1357,peaton,444,1
1358,peaton,481,3
1359,peaton,482,8
1360,peaton,500,2
1361,peaton,521,1
1362,peaton,667,1
1363,peaton,668,1
1364,peaton,670,1
1365,peaton,921,2
1366,peaton,1005,3
1367,peaton,1007,5
1368,peaton,1008,1
1369,peaton,1017,1
1370,peaton,1041,4
1371,peaton,1042,1
1372,peaton,1068,1
1373,peaton,1117,1
1374,peaton,1118,1
1375,peaton,1277,2
1376,peaton,1341,1
1377,peaton,1390,1
1378,peaton,1544,1
1379,peaton,1582,1
1380,peaton,1588,1
1381,taxi,0,1
1382,taxi,2,1
1383,taxi,3,2
1384,taxi,5,3
1385,taxi,6,3
1386,taxi,7,1
